STATION NAME: ,"MAXIMUM VALUE BETWEEN TICKET GATE AND PLATFORM?: At stations with multiple lines and/or ticket offices, the highest value or combination is used. Entry point is used for stations without gates.","DETAILS OF MAXIMUM INTERCHANGE VALUES BETWEEN LINES (where appropriate) – all values apply in both directions. However, in some cases there may be lower values according to station layout.",,
Tooting Bec,2 minutes,,,
Tooting Broadway,2 minutes,,,
Tottenham Court Road,Central:  4 minutes,Central to Northern: 4 minutes,,
,Northern: 4 minutes,,,
Tottenham Hale ,National Express East Anglia: 3 minutes,National Express East Anglia to Victoria: 5 minutes,,
,Victoria: 5 minutes,,,
Totteridge & Whetstone,2 minutes,,,
Tower Gateway,3 minutes,,,
Tower Hill,Circle: 1 minute,"Connections between Circle and District, and with terminating District: 2 minutes.",,
,District: 1 minute,,,
Tufnell Park,3 minutes,,,
Turnham Green,District: 2 minutes,District (between branches): 4 minutes,,
,Piccadilly: 2 minutes,District to Piccadilly: 4 minutes,,
Turnpike Lane,2 minutes,,,
Upminster,C2C: 2.5 minutes,C2C to District: 4.5 minutes,,
